Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,25038,שבת מברכים תשרי,א-לא,32,70,2.2
6,2455472,25044,שבת מברכים חשון,א-לג,33,70,2.1
6,2455500,0,שבת מברכים כסלו,א-לג,33,70,2.1
6,2455535,166939,שבת מברכים כסליו,א-לג,33,70,2.1
6,2455563,166946,שבת מברכים שבט,א-לט,39,75,1.9
6,2455591,25068,שבת מברכים אדר,א-מ,40,75,1.9
6,2455619,0,שבת מברכים אדר ב,א-מ,40,75,1.9
6,2455654,25074,שבת מברכים ניסן,א-מא,41,77,1.9
6,2455682,25080,שבת מברכים אייר,א-מג,43,80,1.9
6,2455710,25086,שבת מברכים סיון,א-מד,44,80,1.8
6,2455738,25092,שבת מברכים תמוז,א-מו,46,85,1.8
6,2455773,25098,שבת מברכים מנחם-אב,א-מט,49,90,1.8
6,2455801,25033,שבת מברכים אלול,א-נ,50,90,1.8
7,2455444,25110,שבת מברכים תשרי,א-נד,54,90,1.7
7,2455472,25116,שבת מברכים חשון,א-נו,56,90,1.6
7,2455500,0,שבת מברכים כסלו,א-נז,57,90,1.6
7,2455535,169240,שבת מברכים טבת,א-נט,59,90,1.5
7,2455563,166958,שבת מברכים שבט,א-סא,61,90,1.5
7,2455591,25140,שבת מברכים אדר,א-סג,63,90,1.4
7,2455619,0,שבת מברכים אדר ב,א-סג,63,90,1.4
7,2455654,25146,שבת מברכים ניסן,א-סה,65,90,1.4
7,2455682,25152,שבת מברכים אייר,א-סז,67,90,1.3
7,2455710,25158,שבת מברכים סיון,א-סח,68,90,1.3
7,2455738,25164,שבת מברכים תמוז,א-סט,69,90,1.3
7,2455773,25170,שבת מברכים מנחם-אב,א-עא,71,90,1.3
7,2455801,25105,שבת מברכים אלול,א-עב,72,90,1.3
8,2455444,25182,שבת מברכים תשרי,א-עג,73,95,1.3
8,2455472,25188,שבת מברכים חשון,א-עד,74,95,1.3
8,2455500,0,שבת מברכים כסלו,א-עה,75,100,1.3
8,2455535,169241,שבת מברכים טבת,א-עז,77,100,1.3
8,2455563,170469,שבת מברכים שבט,א-עח,78,100,1.3
8,2455591,25212,שבת מברכים אדר,א-פ,80,100,1.3
8,2455619,0,שבת מברכים אדר ב,א-פא,81,100,1.2
8,2455654,25218,שבת מברכים ניסן,א-פב,82,100,1.2
8,2455682,25224,שבת מברכים אייר,א-פד,84,100,1.2
8,2455710,25230,שבת מברכים סיון,א-פו,86,100,1.2
8,2455738,25236,שבת מברכים תמוז,א-פח,88,100,1.1
8,2455773,25242,שבת מברכים מנחם-אב,א-פט,89,100,1.1
8,2455801,25177,שבת מברכים אלול,א-פט,89,100,1.1
9,2455444,25254,שבת מברכים תשרי,א-צא,91,100,1.1
9,2455472,25260,שבת מברכים חשון,א-צג,93,100,1.1
9,2455500,0,שבת מברכים כסלו,א-צה,95,100,1.1
9,2455535,169243,שבת מברכים טבת,א-צז,97,110,1.1
9,2455563,170470,שבת מברכים שבט,א-קא,101,110,1.1
9,2455591,25284,שבת מברכים אדר,א-קב,102,110,1.1
9,2455619,0,שבת מברכים אדר ב,א-קב,102,110,1.1
9,2455654,25290,שבת מברכים ניסן,א-קג,103,110,1.1
9,2455682,25296,שבת מברכים אייר,א-קד,104,110,1.1
9,2455710,25302,שבת מברכים סיון,א-קה,105,110,1.0
9,2455738,25308,שבת מברכים תמוז,א-קו,106,110,1.0
9,2455773,25314,שבת מברכים מנחם-אב,א-קו,106,110,1.0
9,2455801,25249,שבת מברכים אלול,א-קו,106,110,1.0
10,2455444,25633,שבת מברכים תשרי,א-קז,107,110,1.0
10,2455472,25639,שבת מברכים חשון,א-קי,110,115,1.0
10,2455500,0,שבת מברכים כסלו,א-קי,110,115,1.0
10,2455535,169244,שבת מברכים טבת,1/2 א-קיט,120,120,1.0
10,2455563,170471,שבת מברכים שבט,א-קיט,120,120,1.0
10,2455591,25663,שבת מברכים אדר,א-קכב,122,120,1.0
10,2455619,0,שבת מברכים אדר ב,א-קכב,122,120,1.0
10,2455654,25669,שבת מברכים ניסן,א-קל,130,120,0.9
10,2455682,25675,שבת מברכים אייר,א-קלב,132,120,0.9
10,2455710,25681,שבת מברכים סיון,א-קלה,135,120,0.9
10,2455738,25687,שבת מברכים תמוז,א-קמב,142,120,0.8
10,2455773,25693,שבת מברכים מנחם-אב,א-קנ,150,120,0.8
10,2455801,25628,שבת מברכים אלול,א-קנ,150,120,0.8
11,2455444,26400,שבת מברכים תשרי,א-קנ,150,120,0.8
11,2455472,26406,שבת מברכים חשון,א-קנ,150,120,0.8
11,2455500,0,שבת מברכים כסלו,א-קנ,150,120,0.8
11,2455535,169245,שבת מברכים טבת,א-קנ,150,120,0.8
11,2455563,170472,שבת מברכים שבט,א-קנ,150,120,0.8
11,2455591,26430,שבת מברכים אדר,א-קנ,150,120,0.8
11,2455619,0,שבת מברכים אדר ב,א-קנ,150,120,0.8
11,2455654,26439,שבת מברכים ניסן,א-קנ,150,120,0.8
11,2455682,26445,שבת מברכים אייר,א-קנ,150,120,0.8
11,2455710,26451,שבת מברכים סיון,א-קנ,150,120,0.8
