Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,34101,שבת מברכים תשרי,א-ב,2,10,5.0
6,2455472,26096,שבת מברכים חשון,א-ב,2,10,5.0
6,2455500,0,שבת מברכים כסלו,א-ב,2,10,5.0
6,2455535,169267,שבת מברכים טבת,א-ב,2,10,5.0
6,2455563,170734,שבת מברכים שבט,א-ב,2,10,5.0
6,2455591,26120,שבת מברכים אדר,א-ב,2,10,5.0
6,2455619,0,שבת מברכים אדר ב,א-ב,2,10,5.0
6,2455654,180502,שבת מברכים ניסן,א-ג,3,15,5.0
6,2455682,26132,שבת מברכים אייר,א-ג,3,15,5.0
6,2455710,26138,שבת מברכים סיון,א-ג,3,15,5.0
6,2455738,26144,שבת מברכים תמוז,א-ג,3,15,5.0
6,2455773,26150,שבת מברכים מנחם-אב,א-ג,3,15,5.0
6,2455801,26087,שבת מברכים אלול,א-ג,3,15,5.0
7,2455444,26188,שבת מברכים תשרי,א-ד,4,20,5.0
7,2455472,26194,שבת מברכים חשון,א-ד,4,20,5.0
7,2455500,0,שבת מברכים כסלו,א-ד,4,20,5.0
7,2455535,169268,שבת מברכים טבת,א-ד,4,20,5.0
7,2455563,170735,שבת מברכים שבט,א-ד,4,20,5.0
7,2455591,26218,שבת מברכים אדר,א-ד,4,20,5.0
7,2455619,0,שבת מברכים אדר ב,א-ד,4,20,5.0
7,2455654,26227,שבת מברכים ניסן,א-ה,5,25,5.0
7,2455682,26233,שבת מברכים אייר,א-ה,5,25,5.0
7,2455710,26239,שבת מברכים סיון,א-ה,5,25,5.0
7,2455738,26245,שבת מברכים תמוז,א-ה,5,25,5.0
7,2455773,26251,שבת מברכים מנחם-אב,א-ה,5,25,5.0
7,2455801,26183,שבת מברכים אלול,א-ה,5,25,5.0
8,2455444,26644,שבת מברכים תשרי,א-ה,5,25,5.0
8,2455472,26650,שבת מברכים חשון,א-ה,5,25,5.0
8,2455500,0,שבת מברכים כסלו,א-ה,5,25,5.0
8,2455535,169269,שבת מברכים טבת,א-ה,5,25,5.0
8,2455563,170736,שבת מברכים שבט,א-ה,5,25,5.0
8,2455591,26674,שבת מברכים אדר,א-ה,5,25,5.0
8,2455619,0,שבת מברכים אדר ב,א-ה,5,25,5.0
8,2455654,26680,שבת מברכים ניסן,א-ו,6,26,4.3
8,2455682,26686,שבת מברכים אייר,א-ו,6,26,4.3
8,2455710,26692,שבת מברכים סיון,א-ו,6,26,4.3
8,2455738,26698,שבת מברכים תמוז,א-ו,6,26,4.3
8,2455773,26704,שבת מברכים מנחם-אב,א-ו,6,26,4.3
8,2455801,26639,שבת מברכים אלול,א-ו,6,26,4.3
9,2455444,27215,שבת מברכים תשרי,א-ז,7,30,4.3
9,2455472,27221,שבת מברכים חשון,א-ז,7,30,4.3
9,2455500,0,שבת מברכים כסלו,א-ז,7,30,4.3
9,2455535,169270,שבת מברכים טבת,א-ח,8,31,3.9
9,2455563,170737,שבת מברכים שבט,א-ח,8,31,3.9
9,2455591,27245,שבת מברכים אדר,א-ח,8,31,3.9
9,2455619,0,שבת מברכים אדר ב,א-ח,8,31,3.9
9,2455654,27251,שבת מברכים ניסן,א-ט,9,35,3.9
9,2455682,27257,שבת מברכים אייר,א-ט,9,35,3.9
9,2455710,27263,שבת מברכים סיון,א-ט,9,35,3.9
9,2455738,27269,שבת מברכים תמוז,א-י,10,36,3.6
9,2455773,27275,שבת מברכים מנחם-אב,א-י,10,36,3.6
9,2455801,27210,שבת מברכים אלול,א-י,10,36,3.6
10,2455444,27513,שבת מברכים תשרי,א-יא,11,40,3.6
10,2455472,27519,שבת מברכים חשון,א-יא,11,40,3.6
10,2455500,0,שבת מברכים כסלו,א-יא,11,40,3.6
10,2455535,169271,שבת מברכים טבת,א-יב,12,42,3.5
10,2455563,170738,שבת מברכים שבט,א-יג,13,45,3.5
10,2455591,27543,שבת מברכים אדר,א-יג,13,45,3.5
10,2455619,0,שבת מברכים אדר ב,א-יג,13,45,3.5
10,2455654,27549,שבת מברכים ניסן,א-יד,14,45,3.2
10,2455682,27555,שבת מברכים אייר,א-יד,14,45,3.2
10,2455710,27561,שבת מברכים סיון,א-טו,15,46,3.1
10,2455738,27567,שבת מברכים תמוז,א-טו,15,46,3.1
10,2455773,27573,שבת מברכים מנחם-אב,א-טז,16,50,3.1
10,2455801,27508,שבת מברכים אלול,א-טז,16,50,3.1
11,2455444,27814,שבת מברכים תשרי,א-יז,17,52,3.1
11,2455472,27820,שבת מברכים חשון,א-יח,18,55,3.1
11,2455500,0,שבת מברכים כסלו,א-יח,18,55,3.1
11,2455535,169272,שבת מברכים טבת,א-יט,19,57,3.0
