Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,162580,שבת מברכים תשרי,א-ד,4,20,5.0
6,2455472,162587,שבת מברכים חשון,א-ד,4,20,5.0
6,2455500,0,שבת מברכים כסלו,א-ד,4,20,5.0
6,2455535,170138,שבת מברכים טבת,א-ד,4,20,5.0
6,2455563,170743,שבת מברכים שבט,א-ד,4,20,5.0
6,2455591,178126,שבת מברכים אדר,א-ד,4,20,5.0
6,2455619,0,שבת מברכים אדר ב,א-ד,4,20,5.0
6,2455654,180511,שבת מברכים ניסן,א-ה,5,25,5.0
6,2455682,182508,שבת מברכים אייר,א-ה,5,25,5.0
6,2455710,182608,שבת מברכים סיון,א-ה,5,25,5.0
6,2455738,182609,שבת מברכים תמוז,א-ה,5,25,5.0
6,2455773,183346,שבת מברכים מנחם-אב,א-ה,5,25,5.0
6,2455801,162574,שבת מברכים אלול,א-ה,5,25,5.0
7,2455444,26568,שבת מברכים תשרי,א-ה,5,25,5.0
7,2455472,26575,שבת מברכים חשון,א-ה,5,25,5.0
7,2455500,0,שבת מברכים כסלו,א-ה,5,25,5.0
7,2455535,169277,שבת מברכים טבת,א-ה,5,25,5.0
7,2455563,170744,שבת מברכים שבט,א-ה,5,25,5.0
7,2455591,26599,שבת מברכים אדר,א-ה,5,25,5.0
7,2455619,0,שבת מברכים אדר ב,א-ה,5,25,5.0
7,2455654,26605,שבת מברכים ניסן,א-ו,6,25,4.2
7,2455682,26611,שבת מברכים אייר,א-ו,6,25,4.2
7,2455710,26617,שבת מברכים סיון,א-ו,6,25,4.2
7,2455738,26623,שבת מברכים תמוז,א-ו,6,25,4.2
7,2455773,26629,שבת מברכים מנחם-אב,א-ו,6,25,4.2
7,2455801,26477,שבת מברכים אלול,א-ו,6,25,4.2
8,2455444,26720,שבת מברכים תשרי,א-ז,7,30,4.3
8,2455472,7239,שבת מברכים חשון,א-ז,7,30,4.3
8,2455500,0,שבת מברכים כסלו,א-ז,7,30,4.3
8,2455535,169278,שבת מברכים טבת,א-ח,8,30,3.8
8,2455563,170745,שבת מברכים שבט,א-ח,8,30,3.8
8,2455591,26751,שבת מברכים אדר,א-ח,8,30,3.8
8,2455619,0,שבת מברכים אדר ב,א-ח,8,30,3.8
8,2455654,26757,שבת מברכים ניסן,א-ט,9,35,3.9
8,2455682,26763,שבת מברכים אייר,א-ט,9,35,3.9
8,2455710,26769,שבת מברכים סיון,א-ט,9,35,3.9
8,2455738,26775,שבת מברכים תמוז,א-י,10,36,3.6
8,2455773,26781,שבת מברכים מנחם-אב,א-י,10,36,3.6
8,2455801,26714,שבת מברכים אלול,א-י,10,36,3.6
9,2455444,27065,שבת מברכים תשרי,א-יא,11,40,3.6
9,2455472,27072,שבת מברכים חשון,א-יא,11,40,3.6
9,2455500,0,שבת מברכים כסלו,א-יא,11,40,3.6
9,2455535,169279,שבת מברכים טבת,א-יב,12,42,3.5
9,2455563,170746,שבת מברכים שבט,א-יג,13,45,3.5
9,2455591,27096,שבת מברכים אדר,א-יג,13,45,3.5
9,2455619,0,שבת מברכים אדר ב,א-יג,13,45,3.5
9,2455654,27102,שבת מברכים ניסן,א-יד,14,45,3.2
9,2455682,27108,שבת מברכים אייר,א-יד,14,45,3.2
9,2455710,27114,שבת מברכים סיון,א-טו,15,45,3.0
9,2455738,27120,שבת מברכים תמוז,א-טו,15,45,3.0
9,2455773,27126,שבת מברכים מנחם-אב,א-טז,16,50,3.1
9,2455801,27059,שבת מברכים אלול,א-טז,16,50,3.1
10,2455444,27142,שבת מברכים תשרי,א-יז,17,52,3.1
10,2455472,27149,שבת מברכים חשון,א-יח,18,55,3.1
10,2455500,0,שבת מברכים כסלו,א-יח,18,55,3.1
10,2455535,169280,שבת מברכים טבת,א-יט,19,60,3.2
10,2455563,170747,שבת מברכים שבט,א-כב,22,65,3.0
10,2455591,27173,שבת מברכים אדר,א-כב,22,65,3.0
10,2455619,0,שבת מברכים אדר ב,א-כב,22,65,3.0
10,2455654,27179,שבת מברכים ניסן,א-כד,24,70,2.9
10,2455682,27185,שבת מברכים אייר,א-כה,25,73,2.9
10,2455710,27191,שבת מברכים סיון,א-כו,26,75,2.9
10,2455738,27197,שבת מברכים תמוז,א-כז,27,78,2.9
10,2455773,27203,שבת מברכים מנחם-אב,א-כח,28,80,2.9
10,2455801,27136,שבת מברכים אלול,א-כט,29,80,2.8
11,2455444,27294,שבת מברכים תשרי,א-לא,31,80,2.6
