Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,28331,שבת מברכים תשרי,א,1,10,10.0
6,2455472,28338,שבת מברכים חשון,א,1,10,10.0
6,2455500,0,שבת מברכים כסלו,א,1,10,10.0
6,2455535,169258,שבת מברכים טבת,א,1,10,10.0
6,2455563,170486,שבת מברכים שבט,א,1,10,10.0
6,2455591,28362,שבת מברכים אדר,א,1,10,10.0
6,2455619,0,שבת מברכים אדר ב,א,1,10,10.0
6,2455654,28368,שבת מברכים ניסן,א-ב,2,10,5.0
6,2455682,28374,שבת מברכים אייר,א-ב,2,10,5.0
6,2455710,28380,שבת מברכים סיון,א-ב,2,10,5.0
6,2455738,33485,שבת מברכים תמוז,א-ב,2,10,5.0
6,2455773,28386,שבת מברכים מנחם-אב,א-ב,2,10,5.0
6,2455801,28325,שבת מברכים אלול,א-ב,2,10,5.0
7,2455444,28477,שבת מברכים תשרי,א-ב,2,10,5.0
7,2455472,28484,שבת מברכים חשון,א-ב,2,10,5.0
7,2455500,0,שבת מברכים כסלו,א-ב,2,10,5.0
7,2455535,169259,שבת מברכים טבת,א-ב,2,10,5.0
7,2455563,170487,שבת מברכים שבט,א-ב,2,10,5.0
7,2455591,28508,שבת מברכים אדר,א-ב,2,10,5.0
7,2455619,0,שבת מברכים אדר ב,א-ב,2,10,5.0
7,2455654,28591,שבת מברכים ניסן,א-ג,3,15,5.0
7,2455682,28520,שבת מברכים אייר,א-ג,3,15,5.0
7,2455710,28526,שבת מברכים סיון,א-ג,3,15,5.0
7,2455738,28532,שבת מברכים תמוז,א-ג,3,15,5.0
7,2455773,28538,שבת מברכים מנחם-אב,א-ג,3,15,5.0
7,2455801,28471,שבת מברכים אלול,א-ג,3,15,5.0
8,2455444,33491,שבת מברכים תשרי,א-ד,4,20,5.0
8,2455472,33498,שבת מברכים חשון,א-ד,4,20,5.0
8,2455500,0,שבת מברכים כסלו,א-ד,4,20,5.0
8,2455535,169260,שבת מברכים טבת,א-ד,4,20,5.0
8,2455563,170488,שבת מברכים שבט,א-ד,4,20,5.0
8,2455591,33522,שבת מברכים אדר,א-ד,4,20,5.0
8,2455619,0,שבת מברכים אדר ב,א-ד,4,20,5.0
8,2455654,33531,שבת מברכים ניסן,א-ה,5,25,5.0
8,2455682,33537,שבת מברכים אייר,א-ה,5,25,5.0
8,2455710,33543,שבת מברכים סיון,א-ה,5,25,5.0
8,2455738,33549,שבת מברכים תמוז,א-ה,5,25,5.0
