Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,160906,שבת מברכים תשרי,א-יא,11,40,3.6
6,2455472,160913,שבת מברכים חשון,א-יא,11,40,3.6
6,2455500,0,שבת מברכים כסלו,א-יא,11,40,3.6
6,2455535,170185,שבת מברכים טבת,א-יב,12,40,3.3
6,2455563,170770,שבת מברכים שבט,א-יג,13,45,3.5
6,2455591,178154,שבת מברכים אדר,א-יג,13,45,3.5
6,2455619,0,שבת מברכים אדר ב,א-יג,13,45,3.5
6,2455654,180885,שבת מברכים ניסן,א-יד,14,45,3.2
6,2455682,182259,שבת מברכים אייר,א-יד,14,45,3.2
6,2455710,182722,שבת מברכים סיון,א-טו,15,45,3.0
6,2455738,182723,שבת מברכים תמוז,א-טו,15,45,3.0
6,2455773,183530,שבת מברכים מנחם-אב,א-טז,16,50,3.1
6,2455801,160900,שבת מברכים אלול,א-טז,16,50,3.1
7,2455444,28100,שבת מברכים תשרי,א-יז,17,52,3.1
7,2455472,28107,שבת מברכים חשון,א-יח,18,55,3.1
7,2455500,0,שבת מברכים כסלו,א-יח,18,55,3.1
7,2455535,169304,שבת מברכים טבת,א-יט,19,60,3.2
7,2455563,170771,שבת מברכים שבט,א-כב,22,65,3.0
7,2455591,28131,שבת מברכים אדר,א-כב,22,65,3.0
7,2455619,0,שבת מברכים אדר ב,א-כב,22,65,3.0
7,2455654,28140,שבת מברכים ניסן,א-כד,24,70,2.9
7,2455682,28146,שבת מברכים אייר,א-כה,25,73,2.9
7,2455710,28152,שבת מברכים סיון,א-כו,26,75,2.9
7,2455738,28158,שבת מברכים תמוז,א-כז,27,77,2.9
7,2455773,28164,שבת מברכים מנחם-אב,א-כח,28,80,2.9
7,2455801,28094,שבת מברכים אלול,א-כט,29,80,2.8
8,2455444,28177,שבת מברכים תשרי,א-לא,31,80,2.6
8,2455472,28184,שבת מברכים חשון,א-לג,33,80,2.4
8,2455500,0,שבת מברכים כסלו,א-לה,35,80,2.3
8,2455535,169305,שבת מברכים טבת,א-לז,37,80,2.2
8,2455563,7931,שבת מברכים שבט,א-לט,39,80,2.1
8,2455591,28208,שבת מברכים אדר,א-מ,40,80,2.0
8,2455619,0,שבת מברכים אדר ב,א-מ,40,80,2.0
8,2455654,28217,שבת מברכים ניסן,א-מא,41,80,2.0
8,2455682,28223,שבת מברכים אייר,א-מג,43,80,1.9
8,2455710,28229,שבת מברכים סיון,א-מד,44,82,1.9
8,2455738,28235,שבת מברכים תמוז,א-מו,45,85,1.9
8,2455773,28241,שבת מברכים מנחם-אב,א-מט,49,90,1.8
8,2455801,28171,שבת מברכים אלול,א-נ,50,90,1.8
9,2455444,28254,שבת מברכים תשרי,א-נד,54,90,1.7
9,2455472,28261,שבת מברכים חשון,א-נו,56,90,1.6
9,2455500,0,שבת מברכים כסלו,א-נז,67,90,1.3
9,2455535,169306,שבת מברכים טבת,א-נט,59,90,1.5
9,2455563,170773,שבת מברכים שבט,א-סא,61,90,1.5
9,2455591,28285,שבת מברכים אדר,א-סג,63,90,1.4
9,2455619,0,שבת מברכים אדר ב,א-סג,63,90,1.4
9,2455654,28294,שבת מברכים ניסן,א-סה,65,90,1.4
9,2455682,28300,שבת מברכים אייר,א-סז,67,90,1.3
9,2455710,28306,שבת מברכים סיון,א-סח,68,90,1.3
9,2455738,28312,שבת מברכים תמוז,א-סט,69,90,1.3
9,2455773,28318,שבת מברכים מנחם-אב,א-עא,71,90,1.3
9,2455801,28248,שבת מברכים אלול,א-עב,72,90,1.3
10,2455444,28629,שבת מברכים תשרי,א-עג,73,90,1.2
10,2455472,28636,שבת מברכים חשון,א-עד,74,90,1.2
10,2455500,0,שבת מברכים כסלו,א-עד,74,90,1.2
10,2455535,169307,שבת מברכים טבת,א-עז,77,95,1.2
10,2455563,170774,שבת מברכים שבט,א-עח,78,95,1.2
10,2455591,28660,שבת מברכים אדר,א-פ,80,100,1.3
10,2455619,0,שבת מברכים אדר ב,א-פ,80,100,1.3
10,2455654,28669,שבת מברכים ניסן,א-פב,82,105,1.3
10,2455682,28675,שבת מברכים אייר,א-פד,84,105,1.3
10,2455710,28681,שבת מברכים סיון,א-פו,86,105,1.2
10,2455738,28687,שבת מברכים תמוז,א-פח,88,105,1.2
10,2455773,28693,שבת מברכים מנחם-אב,א-פט,88,105,1.2
10,2455801,28623,שבת מברכים אלול,א-פט,89,105,1.2
11,2455444,29881,שבת מברכים תשרי,א-צא,91,105,1.2
11,2455472,29888,שבת מברכים חשון,א-צג,93,105,1.1
11,2455500,0,שבת מברכים כסלו,א-צג,93,105,1.1
11,2455535,169308,שבת מברכים טבת,א-צז,97,110,1.1
11,2455563,170775,שבת מברכים שבט,א-קא,101,110,1.1
11,2455591,29912,שבת מברכים אדר,א-קב,102,110,1.1
11,2455619,0,שבת מברכים אדר ב,א-קב,102,110,1.1
11,2455654,29921,שבת מברכים ניסן,א-קג,103,110,1.1
11,2455682,29927,שבת מברכים אייר,א-קד,104,110,1.1
11,2455710,29933,שבת מברכים סיון,א-קה,105,110,1.0
11,2455738,29939,שבת מברכים תמוז,א-קו,106,110,1.0
11,2455773,29945,שבת מברכים מנחם-אב,א-קו,106,110,1.0
11,2455801,29875,שבת מברכים אלול,א-קו,106,110,1.0
12,2455444,29958,שבת מברכים תשרי,א-קז,107,110,1.0
12,2455472,29965,שבת מברכים חשון,א-קי,110,110,1.0
12,2455500,0,שבת מברכים כסלו,א-קי,110,110,1.0
12,2455535,169309,שבת מברכים טבת,1/2 א-קיט,119,120,1.0
12,2455563,170776,שבת מברכים שבט,א-קיט,119,120,1.0
12,2455591,29989,שבת מברכים אדר,א-קכב,122,120,1.0
12,2455619,0,שבת מברכים אדר ב,א-קכב,122,120,1.0
12,2455654,29998,שבת מברכים ניסן,א-קל,130,120,0.9
12,2455682,30004,שבת מברכים אייר,א-קלב,132,120,0.9
12,2455710,30010,שבת מברכים סיון,א-קלה,135,120,0.9
12,2455738,30016,שבת מברכים תמוז,א-קמב,142,120,0.8
12,2455773,30022,שבת מברכים מנחם-אב,א-קנ,150,120,0.8
12,2455801,29952,שבת מברכים אלול,א-קנ,150,120,0.8
13,2455444,30035,שבת מברכים תשרי,א-קנ,150,120,0.8
13,2455472,30042,שבת מברכים חשון,א-קנ,150,120,0.8
13,2455500,0,שבת מברכים כסלו,א-קנ,150,120,0.8
13,2455535,169310,שבת מברכים טבת,א-קנ,150,120,0.8
13,2455563,170777,שבת מברכים שבט,א-קנ,150,120,0.8
13,2455591,30066,שבת מברכים אדר,א-קנ,150,120,0.8
13,2455619,0,שבת מברכים אדר ב,א-קנ,150,120,0.8
13,2455654,30075,שבת מברכים ניסן,א-קנ,150,120,0.8
13,2455682,30081,שבת מברכים אייר,א-קנ,150,120,0.8
13,2455710,30087,שבת מברכים סיון,א-קנ,150,120,0.8
13,2455738,30093,שבת מברכים תמוז,א-קנ,150,120,0.8
13,2455773,30099,שבת מברכים מנחם-אב,א-קנ,150,120,0.8
13,2455801,30029,שבת מברכים אלול,א-קנ,150,120,0.8
14,2455444,30105,שבת מברכים תשרי,א-קנ,150,110,0.7
14,2455472,30119,שבת מברכים חשון,א-קנ,150,110,0.7
14,2455500,0,שבת מברכים כסלו,א-קנ,150,110,0.7
14,2455535,169311,שבת מברכים טבת,א-קנ,150,110,0.7
14,2455563,170778,שבת מברכים שבט,א-קנ,150,110,0.7
14,2455591,30143,שבת מברכים אדר,א-קנ,150,110,0.7
14,2455619,0,שבת מברכים אדר ב,א-קנ,150,110,0.7
14,2455654,30152,שבת מברכים ניסן,א-קנ,150,110,0.7
14,2455682,30158,שבת מברכים אייר,א-קנ,150,110,0.7
14,2455710,30164,שבת מברכים סיון,א-קנ,150,110,0.7
14,2455738,30170,שבת מברכים תמוז,א-קנ,150,110,0.7
14,2455773,30176,שבת מברכים מנחם-אב,א-קנ,150,110,0.7
14,2455801,30113,שבת מברכים אלול,א-קנ,150,110,0.7
