1902,1,1
1421,1,1
2169,1,1
828,1,1
831,1,1
1914,1,1
1090,4,
673,7,1
624,7,1
1908,7,18
1001,7,18
998,7,18
1014,7,18
1039,7,18
1903,7,18
1432,7,18
1912,2,4
1417,2,4
1125,2,4
2186,2,4
2115,2,4
1063,2,4
1067,2,4
1069,2,4
2090,2,5
1016,2,5
716,2,5
713,2,5
1458,2,5
2248,2,5
681,2,5
698,2,5
710,2,5
705,2,5
1862,2,5
1400,2,5
1416,2,5
707,2,5
1045,2,5
714,2,5
1015,2,6
712,2,6
718,2,6
689,2,6
2180,2,6
1904,2,6
1909,2,6
2267,2,6
2148,2,6
2143,2,6
1475,2,6
2150,2,6
1476,2,6
2119,2,6
2181,2,6
593,2,6
2162,2,6
2161,2,6
592,2,6
2182,2,6
1057,2,6
1055,2,6
2091,2,6
1023,4,8
1038,4,8
2073,4,8
579,4,8
578,4,8
1419,4,8
568,4,8
632,4,8
2076,4,8
2087,4,9
2154,4,9
1008,4,9
823,4,9
1444,4,9
1103,4,9
1433,4,9
2113,4,9
1085,4,9
1101,4,9
925,4,9
1097,4,9
1844,4,9
564,4,9
1855,4,9
715,4,9
2128,4,9
1473,4,9
2243,5,14
930,5,14
641,5,14
1463,5,14
645,5,14
588,5,14
2244,5,14
1122,5,14
1404,5,14
565,5,14
563,5,14
1033,5,14
1127,5,14
1430,5,14
1470,5,14
1100,5,14
1126,5,14
1028,5,14
1042,5,14
2191,5,14
1402,5,14
700,5,14
699,5,14
566,5,14
2132,5,15
684,5,15
2084,1,1
2254,1,1
582,1,1
2204,1,1
1410,1,1
2185,1,1
2120,1,2
1054,1,2
2207,1,2
1380,1,2
1376,1,2
1375,1,2
1377,1,2
1378,1,2
1379,1,2
1012,1,2
1021,1,2
1041,1,2
1040,1,2
2089,1,2
638,1,2
1382,1,2
597,1,3
1105,1,3
1440,1,3
1129,1,3
635,1,3
627,1,3
2070,1,3
2158,1,3
1413,1,3
1072,1,3
2117,1,3
1403,1,3
1002,1,3
1050,5,15
642,5,15
1051,5,15
688,1,1
2108,1,1
1031,1,1
2166,7,19
2165,7,19
1049,7,19
1009,7,19
1048,7,19
842,7,19
695,7,19
1091,7,19
622,3,12
623,3,12
832,3,12
587,3,12
591,3,12
2168,3,12
585,3,12
1436,3,12
1110,3,12
1461,3,12
1426,3,12
1460,3,12
2092,3,12
1833,3,12
929,3,12
1464,3,12
1462,3,12
2170,3,12
561,3,12
2081,3,11
843,3,11
2247,3,11
928,3,11
924,3,11
569,3,11
2177,3,11
1852,3,11
1405,3,11
2183,3,11
683,3,11
631,3,11
1112,3,11
836,3,11
1457,3,11
2114,3,11
1121,3,11
935,3,11
1888,3,10
1471,3,10
1429,3,10
1451,3,10
1469,3,10
1372,3,10
1022,3,10
1053,3,10
1111,3,10
931,3,10
1034,3,10
1123,3,10
1108,3,10
1466,3,10
726,3,10
2164,3,10
703,4,10
625,4,10
1860,4,10
1871,4,10
1027,4,10
1020,4,10
2160,4,10
840,6,13
2086,6,13
1011,6,13
1013,6,13
2184,6,13
2067,6,13
2068,6,13
1116,6,13
2266,6,13
680,6,16
1450,6,16
1454,6,16
2110,6,16
621,6,16
1406,6,16
1401,6,16
1418,6,16
1409,6,16
1070,6,16
636,6,16
2111,6,16
2077,6,16
1408,6,16
1135,6,16
1132,6,16
761,6,16
817,6,16
2245,6,16
685,6,16
682,6,16
1056,6,17
1029,6,17
1037,6,17
1868,6,17
1124,6,17
2118,6,17
2079,7,19
1438,7,19
2123,7,19
1061,5,15
1060,5,15
1026,5,15
1059,7,1
644,7,1
634,7,1
1010,7,1
2088,7,18
2212,4,5
1130,4,5
2159,7,20
1006,7,20
1047,7,20
822,7,20
820,7,20
821,7,20
2069,7,20
1106,6,13
841,6,13
999,6,17
724,6,17
1477,6,17
1043,6,17
1096,6,17
1107,6,17
1872,1,2
633,4,8
1449,1,1
1005,7,18
1003,7,18
1058,7,18
1017,7,18
1093,,
1431,,
686,,
1128,,
709,7,
717,7,
1046,,
926,7,
1870,,
1427,,
643,,
2112,,
2176,,
1113,,
2272,,
580,,
581,,
596,,
598,,
594,,
725,,
728,,
1478,,
1479,,
1838,,
1840,,
1841,,
1842,,
1847,,
2269,,
1849,,
1851,,
1857,,
1858,,
1869,,
2109,,
672,,
674,,
