2456194	2456200	הַאֲזִינוּ	5773
2456201	2456207	סוכות	5773
2456208	2456214	בְּרֵאשִׁית	5773
2456215	2456221	נֹחַ	5773
2456222	2456228	לֶךְ-לְךָ	5773
2456229	2456235	וַיֵּרָא	5773
2456236	2456242	חַיֵּי שָׂרָה	5773
2456243	2456249	תּוֹלְדֹת	5773
2456250	2456256	וַיֵּצֵא	5773
2456257	2456263	וַיִּשְׁלַח	5773
2456264	2456270	וַיֵּשֶׁב	5773
2456271	2456277	מִקֵּץ	5773
2456278	2456284	וַיִּגַּשׁ	5773
2456285	2456291	וַיְחִי	5773
2456292	2456298	שְׁמוֹת	5773
2456299	2456305	וָאֵרָא	5773
2456306	2456312	בֹּא	5773
2456313	2456319	בְּשַׁלַּח	5773
2456320	2456326	יִתְרוֹ	5773
2456327	2456333	מִּשְׁפָּטִים	5773
2456334	2456340	תְּרוּמָה	5773
2456341	2456347	תְּצַוֶּה	5773
2456348	2456354	כִּי תִשָּׂא	5773
2456355	2456361	וַיַּקְהֵל-פְקוּדֵי	5773
2456362	2456368	וַיִּקְרָא	5773
2456369	2456375	צַו	5773
2456376	2456382	פסח	5773
2456383	2456389	שְּׁמִינִי	5773
2456390	2456396	תַזְרִיעַ - מְּצֹרָע	5773
2456397	2456403	אַחֲרֵי מוֹת - קְדֹשִׁים	5773
2456404	2456410	אֱמֹר	5773
2456411	2456417	בְּהַר - בְּחֻקֹּתַי	5773
2456418	2456424	בְּמִדְבַּר	5773
2456425	2456431	נָשֹׂא	5773
2456432	2456438	בְּהַעֲלֹתְךָ	5773
2456439	2456445	שְׁלַח-לְךָ	5773
2456446	2456452	קֹרַח	5773
2456453	2456459	חֻקַּת	5773
2456460	2456466	בָּלָק	5773
2456467	2456473	פִּינְחָס	5773
2456474	2456480	מַּטּוֹת - מַסְעֵי	5773
2456481	2456487	דְּבָרִים	5773
2456488	2456494	וָאֶתְחַנַּן	5773
2456495	2456501	עֵקֶב	5773
2456502	2456508	רְאֵה	5773
2456509	2456515	שֹׁפְטִים	5773
2456516	2456522	כִּי-תֵצֵא	5773
2456523	2456529	כִּי-תָבוֹא	5773
2456530	2456536	נִצָּבִים - וַיֵּלֶךְ	5773
2456537	2456543	הַאֲזִינוּ	5774
2456544	2456550	יום כפור	5774
2456551	2456557	סוכות	5774
2456558	2456564	בְּרֵאשִׁית	5774
2456565	2456571	נֹחַ	5774
2456572	2456578	לֶךְ-לְךָ	5774
2456579	2456585	וַיֵּרָא	5774
2456586	2456592	חַיֵּי שָׂרָה	5774
2456593	2456599	תּוֹלְדֹת	5774
2456600	2456606	וַיֵּצֵא	5774
2456607	2456613	וַיִּשְׁלַח	5774
2456614	2456620	וַיֵּשֶׁב	5774
2456621	2456627	מִקֵּץ	5774
2456628	2456634	וַיִּגַּשׁ	5774
2456635	2456641	וַיְחִי	5774
2456642	2456648	שְׁמוֹת	5774
2456649	2456655	וָאֵרָא	5774
2456656	2456662	בֹּא	5774
2456663	2456669	בְּשַׁלַּח	5774
2456670	2456676	יִתְרוֹ	5774
2456677	2456683	מִּשְׁפָּטִים	5774
2456684	2456690	תְּרוּמָה	5774
2456691	2456697	תְּצַוֶּה	5774
2456698	2456704	כִּי תִשָּׂא	5774
2456705	2456711	וַיַּקְהֵל	5774
2456712	2456718	פְקוּדֵי	5774
2456719	2456725	וַיִּקְרָא	5774
2456726	2456732	צַו	5774
2456733	2456739	שְּׁמִינִי	5774
2456740	2456746	תַזְרִיעַ	5774
2456747	2456753	מְּצֹרָע	5774
2456754	2456760	אַחֲרֵי מוֹת	5774
2456761	2456767	פסח	5774
2456768	2456774	קְדֹשִׁים	5774
2456775	2456781	אֱמֹר	5774
2456782	2456788	בְּהַר	5774
2456789	2456795	בְּחֻקֹּתַי	5774
2456796	2456802	בְּמִדְבַּר	5774
2456803	2456809	נָשֹׂא	5774
2456810	2456816	בְּהַעֲלֹתְךָ	5774
2456817	2456823	שְׁלַח-לְךָ	5774
2456824	2456830	קֹרַח	5774
2456831	2456837	חֻקַּת	5774
2456838	2456844	בָּלָק	5774
2456845	2456851	פִּינְחָס	5774
2456852	2456858	מַּטּוֹת	5774
2456859	2456865	מַסְעֵי	5774
2456866	2456872	דְּבָרִים	5774
2456873	2456879	וָאֶתְחַנַּן	5774
2456880	2456886	עֵקֶב	5774
2456887	2456893	רְאֵה	5774
2456894	2456900	שֹׁפְטִים	5774
2456901	2456907	כִּי-תֵצֵא	5774
2456908	2456914	כִּי-תָבוֹא	5774
2456915	2456921	נִצָּבִים - וַיֵּלֶךְ	5774
