1387,1
2085,1
2102,1
2179,1
1385,1
570,1
2203,1
1075,1
1255,1
721,1
2252,1
1799,1
1803,1
2019,1
2006,1
1260,1
1395,1
2202,1
2261,1
2071,1
2237,1
971,1
2105,1
2106,1
706,1
708,1
2039,1
2038,1
2049,1
2040,1
2054,1
2056,1
1268,1
1249,1
977,1
2258,1
2031,1
1943,1
1794,1
1806,1
2064,1
1950,1
1211,1
1804,1
2101,1
996,1
2107,1
2104,2
547,2
2275,2
1178,2
1918,2
890,2
1074,2
1254,2
2239,2
973,2
2251,2
1781,2
1805,2
2008,2
2009,2
1259,2
571,2
1196,2
895,2
1931,2
553,2
2198,2
1935,2
2173,2
2083,2
2265,2
2021,2
2044,2
2024,2
2026,2
2050,2
2055,2
1267,2
1078,2
1813,2
2193,2
1265,2
2046,2
1944,2
2253,2
1807,2
2065,2
1251,2
2250,2
910,2
992,2
2103,3
2167,3
2260,3
1180,3
1919,3
1874,3
882,3
1388,3
1923,3
896,3
2200,3
2188,3
1821,3
2005,3
2012,3
1879,3
723,3
1248,3
2201,3
572,3
1393,3
1076,3
576,3
2274,3
697,3
1205,3
2020,3
2043,3
2048,3
2028,3
2032,3
2037,3
1269,3
577,3
898,3
2194,3
1398,3
1945,3
2000,3
1815,3
2063,3
1383,3
1080,3
2061,3
2100,3
1081,3
1921,4
891,4
2199,4
2153,4
1335,4
1386,4
443,4
893,4
886,4
1929,4
2171,4
1391,4
2189,4
1826,4
2013,4
2018,4
1878,4
966,4
1242,4
1077,4
2097,4
1795,4
2017,4
575,4
2174,4
900,4
1206,4
2042,4
2045,4
2047,4
2027,4
2030,4
2023,4
1270,4
573,4
1204,4
2098,4
903,4
1956,4
2093,4
1822,4
2060,4
909,4
693,4
2066,4
1083,4
2242,4
1082,4
1917,5
884,5
2197,5
2157,5
2259,5
1337,5
2094,5
677,5
1245,5
2273,5
1190,5
2187,5
2002,5
2003,5
2016,5
2007,5
444,5
722,5
1876,5
2096,5
897,5
2015,5
574,5
2172,5
904,5
2155,5
1829,5
2033,5
2025,5
2041,5
2036,5
2022,5
2262,5
1250,5
1079,5
1396,5
1825,5
558,5
2175,5
2058,5
2059,5
907,5
981,5
1831,5
912,5
911,5
1384,5
1997,6
2238,6
2080,6
1256,6
1796,6
2095,6
2163,6
892,6
1243,6
1244,6
1192,6
1193,6
2004,6
2014,6
2011,6
2010,6
1262,6
2249,6
1195,6
1926,6
972,6
1830,6
1390,6
2241,6
899,6
902,6
2156,6
1797,6
2051,6
2029,6
2052,6
2035,6
2034,6
2195,6
2099,6
704,6
2192,6
1203,6
560,6
2082,6
2057,6
2062,6
1274,6
978,6
692,6
2205,6
993,6
