2103,1:01
2025,1:10
2059,1:11
892,1:12
902,1:13
1255,1:14
1931,1:15
996,1:16
993,1:17
1956,1:18
2064,1:19
2105,1:02
1929,1:20
2045,1:21
1944,1:22
1943,1:23
1203,1:24
2041,1:25
2063,1:26
1268,1:27
2195,1:28
2020,1:29
907,1:03
2153,1:30
1878,1:31
1876,1:32
1178,1:33
1080,1:34
2022,1:35
886,1:36
693,1:37
2199,1:38
444,1:39
2099,1:04
2274,1:40
2273,1:41
2011,1:42
2192,1:43
2043,1:44
2044,1:45
2050,1:46
2200,1:47
722,1:48
2106,1:05
2005,1:06
1193,1:07
2040,1:08
1211,1:09
2187,2:01
2060,2:10
2239,2:11
2013,2:12
2012,2:13
2000,2:14
1204,2:15
2171,2:16
560,2:17
2056,2:18
1083,2:19
966,2:02
2205,2:20
973,2:21
992,2:22
2202,2:23
2251,2:24
2071,2:25
1383,2:26
2042,2:27
1388,2:28
2255,2:29
2188,2:03
1395,2:30
1386,2:31
891,2:32
2093,2:33
576,2:34
2265,2:35
1923,2:36
1945,2:37
2061,2:38
2014,2:39
884,2:04
882,2:40
697,2:41
2102,2:42
2101,2:43
900,2:44
1260,2:45
1879,2:46
2047,2:47
2055,2:48
1391,2:49
2016,2:05
2242,2:50
1245,2:06
2201,2:07
1190,2:08
2157,2:09
2029,3:01
893,3:10
2271,3:11
895,3:12
897,3:13
911,3:14
2024,3:15
2163,3:16
2046,3:17
903,3:18
909,3:19
1997,3:02
2193,3:20
2275,3:21
2018,3:22
2049,3:23
1387,3:24
2007,3:25
981,3:26
1259,3:27
1919,3:28
2172,3:29
2036,3:03
1205,3:30
899,3:31
2034,3:32
2026,3:33
2015,3:34
1874,3:35
1398,3:36
971,3:37
1935,3:38
1196,3:39
1393,3:04
2058,3:40
692,3:05
575,3:06
1075,3:07
1076,3:08
1248,3:09
1918,4:01
1390,4:10
1256,4:11
2008,4:12
2097,4:13
2100,4:14
2104,4:15
553,4:16
2252,4:17
1244,4:18
2010,4:19
2085,4:02
912,4:20
2035,4:21
2156,4:22
2002,4:23
1950,4:24
2066,4:25
574,4:26
570,4:27
571,4:28
978,4:29
2249,4:03
1195,4:30
1269,4:31
2031,4:32
2037,4:33
1926,4:34
2083,4:35
2023,4:36
1384,4:37
2003,4:38
1385,4:39
2198,4:04
2175,4:40
904,4:41
2155,4:42
2197,4:43
1081,4:44
2009,4:45
1180,4:46
2095,4:47
2004,4:48
2080,4:49
2253,4:05
1337,4:50
2250,4:06
572,4:07
573,4:08
706,4:09
2032,5:01
977,5:10
1265,5:11
704,5:12
2051,5:13
2062,5:14
2065,5:15
443,5:16
577,5:17
910,5:18
2241,5:19
2033,5:02
2021,5:20
2194,5:21
1396,5:22
2030,5:23
2262,5:24
1254,5:25
1251,5:26
2039,5:27
2238,5:28
2174,5:29
2096,5:03
547,5:30
2173,5:31
2038,5:32
1270,5:33
2094,5:34
2054,5:35
1079,5:36
1206,5:37
2028,5:38
2203,5:39
2107,5:04
2027,5:40
2052,5:41
1262,5:42
890,5:43
708,5:05
1082,5:06
2017,5:07
2098,5:08
896,5:09
1192,6:01
1815,6:10
1822,6:11
898,6:12
2261,6:13
1074,6:14
1078,6:15
2179,6:16
2057,6:17
2019,6:18
2189,6:19
2260,6:02
1917,6:20
1921,6:21
1267,6:22
1274,6:23
972,6:24
721,6:25
1077,6:26
1335,6:27
1249,6:28
2167,6:29
1796,6:03
558,6:30
1243,6:31
2237,6:32
1242,6:33
1250,6:34
677,6:35
1781,6:36
1803,6:37
1805,6:38
1826,6:39
2259,6:04
1830,6:40
1813,6:41
1825,6:42
1829,6:43
1794,6:44
1804,6:45
1806,6:46
1807,6:47
1831,6:48
2048,6:49
1795,6:05
2082,6:50
723,6:51
2006,6:52
1799,6:06
1821,6:07
1797,6:08
2258,6:09
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
