Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
6,2455444,26794,שבת מברכים תשרי,א-ה,5,25,5.0
6,2455472,26801,שבת מברכים חשון,א-ה,5,25,5.0
6,2455500,0,שבת מברכים כסלו,א-ה,5,25,5.0
6,2455535,169285,שבת מברכים טבת,א-ה,5,25,5.0
6,2455563,170752,שבת מברכים שבט,א-ה,5,25,5.0
6,2455591,26826,שבת מברכים אדר,א-ה,5,25,5.0
6,2455619,0,שבת מברכים אדר ב,א-ה,5,25,5.0
6,2455654,26835,שבת מברכים ניסן,א-ו,6,26,4.3
6,2455682,26841,שבת מברכים אייר,א-ו,6,26,4.3
6,2455710,26847,שבת מברכים סיון,א-ו,6,26,4.3
6,2455738,26853,שבת מברכים תמוז,א-ו,6,26,4.3
6,2455773,26859,שבת מברכים מנחם-אב,א-ו,6,26,4.3
6,2455801,26788,שבת מברכים אלול,א-ו,6,26,4.3
7,2455444,27733,שבת מברכים תשרי,א-ז,7,30,4.3
7,2455472,27740,שבת מברכים חשון,א-ז,7,30,4.3
7,2455500,0,שבת מברכים כסלו,א-ז,7,30,4.3
7,2455535,170154,שבת מברכים טבת,א-ח,8,30,3.8
7,2455563,170753,שבת מברכים שבט,א-ח,8,30,3.8
7,2455591,27764,שבת מברכים אדר,א-ח,8,30,3.8
7,2455619,0,שבת מברכים אדר ב,א-ח,8,30,3.8
7,2455654,27773,שבת מברכים ניסן,א-ט,9,34,3.8
7,2455682,27780,שבת מברכים אייר,א-ט,9,34,3.8
7,2455710,27786,שבת מברכים סיון,א-ט,9,34,3.8
7,2455738,27792,שבת מברכים תמוז,א-י,10,35,3.5
7,2455773,27798,שבת מברכים מנחם-אב,א-י,10,35,3.5
7,2455801,27727,שבת מברכים אלול,א-י,10,35,3.5
8,2455444,29341,שבת מברכים תשרי,א-יא,11,38,3.5
8,2455472,29348,שבת מברכים חשון,א-יא,11,38,3.5
8,2455500,0,שבת מברכים כסלו,א-יא,11,38,3.5
8,2455535,169287,שבת מברכים טבת,א-יב,12,42,3.5
8,2455563,170754,שבת מברכים שבט,א-יג,13,45,3.5
8,2455591,29372,שבת מברכים אדר,א-יג,13,45,3.5
8,2455619,0,שבת מברכים אדר ב,א-יג,13,45,3.5
8,2455654,29381,שבת מברכים ניסן,א-יד,14,45,3.2
8,2455682,29387,שבת מברכים אייר,א-יד,14,45,3.2
8,2455710,29393,שבת מברכים סיון,א-טו,15,48,3.2
8,2455738,29399,שבת מברכים תמוז,א-טו,15,48,3.2
8,2455773,29405,שבת מברכים מנחם-אב,א-טז,16,50,3.1
8,2455801,29335,שבת מברכים אלול,א-טז,16,50,3.1
9,2455444,29418,שבת מברכים תשרי,א-יז,17,52,3.1
9,2455472,29425,שבת מברכים חשון,א-יח,18,55,3.1
9,2455500,0,שבת מברכים כסלו,א-יח,18,55,3.1
9,2455535,169288,שבת מברכים טבת,א-יט,19,58,3.1
9,2455563,170755,שבת מברכים שבט,א-כב,22,65,3.0
9,2455591,29449,שבת מברכים אדר,א-כב,22,65,3.0
9,2455619,0,שבת מברכים אדר ב,א-כב,22,65,3.0
