49,2,3,,,,,
31,2,3,,,,,
39,2,3,,,,,
44,2,3,,,,,
48,2,3,,,,,
51,2,3,,,,,
52,2,3,,,,,
60,2,3,,,,,
55,2,3,,,,,
62,2,3,,,,,
65,2,3,,,,,
77,2,3,,,,,
81,2,3,,,,,
83,2,3,,,,,
87,2,3,,,,,
88,2,3,,,,,
89,2,3,,,,,
105,2,3,,,,,
3,2,,,,,,
4,2,,,,,,
5,2,,,,,,
9,2,,,,,,
11,2,,,,,,
12,2,,,,,,
13,2,,,,,,
14,2,,,,,,
19,2,,,,,,
21,2,,,,,,
33,2,,,,,,
43,2,,,,,,
58,2,,,,,,
63,2,,,,,,
100,2,,,,,,
106,2,,,,,,
112,2,,,,,,
2,3,,,,,,
7,3,,,,,,
37,3,,,,,,
30,3,,,,,,
40,3,,,,,,
42,3,,,,,,
45,3,,,,,,
50,3,,,,,,
54,3,,,,,,
66,3,,,,,,
71,3,,,,,,
162,3,,,,,,
61,5,10,,,,,
79,8,,,,,,
86,8,,,,,,
91,8,,,,,,
35,12,13,,,,,
80,12,13,,,,,
84,12,13,,,,,
110,12,13,,,,,
