17862,1
20369,3
22152,4
17355,5
11927,6
15751,7
21692,8
14821,9
13167,10
19501,12
19752,13
13731,14
13492,15
19487,16
10642,17
18189,18
20758,19
9414,20
18283,21
14341,24
20463,25
11214,26
17443,27
10836,28
15577,29
15777,30
22335,30
18750,31
19677,32
19715,33
18024,34
22049,35
10330,36
20396,37
17596,38
16157,39
14930,41
15588,42
21102,44
22388,45
20746,46
13205,47
15561,48
22020,49
10117,50
15021,51
16419,52
18720,53
10911,54
18466,55
15709,56
18558,57
19665,59
21682,60
20914,61
17252,63
12432,64
12472,65
15861,66
15568,67
22311,68
21712,69
13881,70
18400,71
19026,72
14929,73
17168,74
16415,76
8941,78
15301,79
14806,80
18146,81
21168,82
15512,83
14633,85
18818,86
18703,88
15882,89
15628,90
15295,92
17548,93
21651,94
18541,95
21018,96
17848,97
10866,98
18871,100
22206,101
19489,102
16331,103
21173,107
21258,108
15096,109
9998,110
10925,111
19381,112
20540,113
20562,114
17882,115
22338,116
12447,117
19951,118
14878,119
20145,120
3563,121
14177,122
21593,2509
20885,5404
19735,7201
18116,7203
13819,7204
20165,7210
20692,7217
10847,7221
21239,7224
20664,7225
12773,7501
16361,10001
14332,10005
20630,10013
20974,10014
19061,10016
21155,10017
15129,10020
17445,10023
8496,15002
15324,25003
,
